CMDLINE python3 alignEM.py
CHLD 34312 85.515625 1670019780.3053
CHLD 34313 85.539062 1670019780.3053
CHLD 34314 85.476562 1670019780.3053
MEM 297.484375 1670019780.4056
CHLD 34289 9.410156 1670019780.4178
CHLD 34296 26.406250 1670019780.4178
CHLD 34297 79.312500 1670019780.4179
CHLD 34307 142.753906 1670019780.4179
CHLD 34308 10.019531 1670019780.4179
CHLD 34309 92.023438 1670019780.4179
CHLD 34310 92.050781 1670019780.4179
CHLD 34311 92.097656 1670019780.4179
CHLD 34312 92.089844 1670019780.4179
CHLD 34313 92.000000 1670019780.4180
CHLD 34314 91.992188 1670019780.4180
MEM 297.484375 1670019780.5235
CHLD 34289 9.410156 1670019780.5365
CHLD 34296 26.406250 1670019780.5366
CHLD 34297 79.312500 1670019780.5366
CHLD 34307 142.753906 1670019780.5367
CHLD 34308 10.019531 1670019780.5367
CHLD 34309 97.269531 1670019780.5367
CHLD 34310 97.281250 1670019780.5367
CHLD 34311 97.304688 1670019780.5368
CHLD 34312 97.343750 1670019780.5368
CHLD 34313 97.242188 1670019780.5368
CHLD 34314 97.296875 1670019780.5368
MEM 297.484375 1670019780.6372
CHLD 34289 9.410156 1670019780.6500
CHLD 34296 26.406250 1670019780.6500
CHLD 34297 79.355469 1670019780.6501
CHLD 34307 142.753906 1670019780.6501
CHLD 34308 10.019531 1670019780.6501
CHLD 34309 101.457031 1670019780.6501
CHLD 34310 101.398438 1670019780.6501
CHLD 34311 101.449219 1670019780.6501
CHLD 34312 101.468750 1670019780.6502
CHLD 34313 101.417969 1670019780.6503
CHLD 34314 101.460938 1670019780.6503
MEM 297.484375 1670019780.7536
CHLD 34289 9.410156 1670019780.7663
CHLD 34296 26.406250 1670019780.7664
CHLD 34297 79.355469 1670019780.7664
CHLD 34307 142.753906 1670019780.7667
CHLD 34308 10.019531 1670019780.7667
CHLD 34309 104.847656 1670019780.7667
CHLD 34310 104.773438 1670019780.7667
CHLD 34311 104.773438 1670019780.7668
CHLD 34312 104.843750 1670019780.7668
CHLD 34313 104.820312 1670019780.7668
CHLD 34314 104.828125 1670019780.7668
MEM 297.484375 1670019780.8698
CHLD 34289 9.410156 1670019780.8808
CHLD 34296 26.406250 1670019780.8808
CHLD 34297 79.363281 1670019780.8808
CHLD 34307 142.753906 1670019780.8808
CHLD 34308 10.019531 1670019780.8809
CHLD 34309 111.515625 1670019780.8809
CHLD 34310 111.500000 1670019780.8809
CHLD 34311 111.460938 1670019780.8809
CHLD 34312 111.566406 1670019780.8809
CHLD 34313 111.488281 1670019780.8809
CHLD 34314 111.484375 1670019780.8809
MEM 297.484375 1670019780.9813
CHLD 34289 9.410156 1670019780.9940
CHLD 34296 26.406250 1670019780.9941
CHLD 34297 79.363281 1670019780.9942
CHLD 34307 143.113281 1670019780.9942
CHLD 34308 10.019531 1670019780.9942
CHLD 34309 118.417969 1670019780.9942
CHLD 34310 118.449219 1670019780.9942
CHLD 34311 118.414062 1670019780.9943
CHLD 34312 118.371094 1670019780.9943
CHLD 34313 118.488281 1670019780.9943
CHLD 34314 118.484375 1670019780.9944
MEM 297.484375 1670019781.0962
CHLD 34289 9.410156 1670019781.1085
CHLD 34296 26.406250 1670019781.1086
CHLD 34297 79.363281 1670019781.1086
CHLD 34307 142.191406 1670019781.1086
CHLD 34308 10.019531 1670019781.1086
CHLD 34309 123.570312 1670019781.1087
CHLD 34310 123.621094 1670019781.1087
CHLD 34311 123.687500 1670019781.1087
CHLD 34312 123.554688 1670019781.1087
CHLD 34313 123.621094 1670019781.1087
CHLD 34314 123.640625 1670019781.1087
MEM 297.476562 1670019781.2091
CHLD 34289 9.410156 1670019781.2268
CHLD 34296 26.406250 1670019781.2268
CHLD 34297 79.363281 1670019781.2269
CHLD 34307 142.179688 1670019781.2270
CHLD 34308 10.019531 1670019781.2270
CHLD 34309 126.566406 1670019781.2270
CHLD 34310 126.648438 1670019781.2271
CHLD 34311 126.703125 1670019781.2271
CHLD 34312 126.609375 1670019781.2271
CHLD 34313 126.621094 1670019781.2271
CHLD 34314 126.687500 1670019781.2271
CHLD 34319 5.488281 1670019781.2272
CHLD 34317 5.597656 1670019781.2272
CHLD 34320 5.628906 1670019781.2272
CHLD 34316 5.562500 1670019781.2272
CHLD 34318 5.597656 1670019781.2272
CHLD 34315 5.574219 1670019781.2272
MEM 297.476562 1670019781.3278
CHLD 34289 9.410156 1670019781.3410
CHLD 34296 26.406250 1670019781.3410
CHLD 34297 79.363281 1670019781.3411
CHLD 34307 142.179688 1670019781.3411
CHLD 34308 10.019531 1670019781.3411
CHLD 34309 126.566406 1670019781.3411
CHLD 34310 126.648438 1670019781.3411
CHLD 34311 126.703125 1670019781.3411
CHLD 34312 126.609375 1670019781.3412
CHLD 34313 126.621094 1670019781.3412
CHLD 34314 126.687500 1670019781.3412
CHLD 34319 17.304688 1670019781.3412
CHLD 34317 17.449219 1670019781.3412
CHLD 34320 17.347656 1670019781.3412
CHLD 34316 17.363281 1670019781.3412
CHLD 34318 17.367188 1670019781.3412
CHLD 34315 17.464844 1670019781.3412
MEM 297.476562 1670019781.4440
CHLD 34289 9.410156 1670019781.4592
CHLD 34296 26.406250 1670019781.4592
CHLD 34297 79.363281 1670019781.4592
CHLD 34307 142.179688 1670019781.4592
CHLD 34308 10.019531 1670019781.4593
CHLD 34309 126.566406 1670019781.4593
CHLD 34310 126.648438 1670019781.4593
CHLD 34311 126.703125 1670019781.4593
CHLD 34312 126.609375 1670019781.4594
CHLD 34313 126.621094 1670019781.4594
CHLD 34314 126.687500 1670019781.4594
CHLD 34319 30.308594 1670019781.4594
CHLD 34317 30.136719 1670019781.4595
CHLD 34320 30.390625 1670019781.4595
CHLD 34316 30.160156 1670019781.4595
CHLD 34318 30.183594 1670019781.4595
CHLD 34315 30.167969 1670019781.4596
MEM 297.476562 1670019781.5599
CHLD 34289 9.410156 1670019781.5798
CHLD 34296 26.406250 1670019781.5799
CHLD 34297 79.363281 1670019781.5799
CHLD 34307 142.179688 1670019781.5799
CHLD 34308 10.019531 1670019781.5799
CHLD 34309 126.566406 1670019781.5800
CHLD 34310 126.648438 1670019781.5800
CHLD 34311 126.703125 1670019781.5800
CHLD 34312 126.609375 1670019781.5800
CHLD 34313 126.621094 1670019781.5801
CHLD 34314 126.687500 1670019781.5801
CHLD 34319 33.582031 1670019781.5801
CHLD 34321 9.796875 1670019781.5801
