CMDLINE python3 alignEM.py
CHLD 34605 9.523438 1670019953.2205
CHLD 34614 25.988281 1670019953.2206
CHLD 34615 80.277344 1670019953.2206
MEM 247.460938 1670019953.3258
CHLD 34605 9.523438 1670019953.3349
CHLD 34614 25.988281 1670019953.3349
CHLD 34615 80.277344 1670019953.3350
MEM 247.675781 1670019953.4378
CHLD 34605 9.523438 1670019953.4481
CHLD 34614 25.988281 1670019953.4481
CHLD 34615 80.277344 1670019953.4482
MEM 247.675781 1670019953.5526
CHLD 34605 9.523438 1670019953.5637
CHLD 34614 25.988281 1670019953.5638
CHLD 34615 80.277344 1670019953.5638
MEM 247.675781 1670019953.6641
CHLD 34605 9.523438 1670019953.6729
CHLD 34614 25.988281 1670019953.6729
CHLD 34615 80.277344 1670019953.6729
MEM 247.675781 1670019953.7734
CHLD 34605 9.523438 1670019953.7817
CHLD 34614 25.988281 1670019953.7817
CHLD 34615 80.277344 1670019953.7817
MEM 247.675781 1670019953.8837
CHLD 34605 9.523438 1670019953.8918
CHLD 34614 25.988281 1670019953.8918
CHLD 34615 80.277344 1670019953.8918
MEM 247.675781 1670019953.9940
CHLD 34605 9.523438 1670019954.0031
CHLD 34614 25.988281 1670019954.0031
CHLD 34615 80.277344 1670019954.0031
MEM 247.675781 1670019954.1072
CHLD 34605 9.523438 1670019954.1161
CHLD 34614 25.988281 1670019954.1161
CHLD 34615 80.277344 1670019954.1161
MEM 247.675781 1670019954.2212
CHLD 34605 9.523438 1670019954.2306
CHLD 34614 25.988281 1670019954.2306
CHLD 34615 80.277344 1670019954.2306
MEM 247.687500 1670019954.3313
CHLD 34605 9.523438 1670019954.3404
CHLD 34614 25.988281 1670019954.3404
CHLD 34615 80.277344 1670019954.3404
MEM 247.699219 1670019954.4410
CHLD 34605 9.523438 1670019954.4507
CHLD 34614 25.988281 1670019954.4508
CHLD 34615 80.277344 1670019954.4508
MEM 247.699219 1670019954.5548
CHLD 34605 9.523438 1670019954.5657
CHLD 34614 25.988281 1670019954.5657
CHLD 34615 80.277344 1670019954.5658
MEM 247.699219 1670019954.6674
CHLD 34605 9.523438 1670019954.6767
CHLD 34614 25.988281 1670019954.6767
CHLD 34615 80.277344 1670019954.6767
MEM 247.707031 1670019954.7770
CHLD 34605 9.523438 1670019954.7862
CHLD 34614 25.988281 1670019954.7862
CHLD 34615 80.277344 1670019954.7862
MEM 247.718750 1670019954.8898
CHLD 34605 9.523438 1670019954.8986
CHLD 34614 25.988281 1670019954.8986
CHLD 34615 80.277344 1670019954.8986
MEM 258.687500 1670019955.0013
CHLD 34605 9.523438 1670019955.0119
CHLD 34614 25.988281 1670019955.0119
CHLD 34615 80.277344 1670019955.0119
MEM 259.003906 1670019955.1151
CHLD 34605 9.523438 1670019955.1238
CHLD 34614 25.988281 1670019955.1238
CHLD 34615 80.277344 1670019955.1239
MEM 259.003906 1670019955.2247
CHLD 34605 9.523438 1670019955.2342
CHLD 34614 25.988281 1670019955.2342
CHLD 34615 80.277344 1670019955.2343
MEM 259.003906 1670019955.3377
CHLD 34605 9.523438 1670019955.3467
CHLD 34614 25.988281 1670019955.3468
CHLD 34615 80.277344 1670019955.3468
MEM 259.011719 1670019955.4470
CHLD 34605 9.523438 1670019955.4562
CHLD 34614 25.988281 1670019955.4562
CHLD 34615 80.277344 1670019955.4562
MEM 259.011719 1670019955.5589
CHLD 34605 9.523438 1670019955.5695
CHLD 34614 25.988281 1670019955.5696
CHLD 34615 80.277344 1670019955.5696
MEM 260.195312 1670019955.6716
CHLD 34605 9.523438 1670019955.6808
CHLD 34614 25.988281 1670019955.6808
CHLD 34615 80.277344 1670019955.6809
MEM 259.175781 1670019955.7823
CHLD 34605 9.523438 1670019955.7916
CHLD 34614 25.988281 1670019955.7916
CHLD 34615 80.277344 1670019955.7916
MEM 259.175781 1670019955.8922
CHLD 34605 9.523438 1670019955.9020
CHLD 34614 25.988281 1670019955.9020
CHLD 34615 80.277344 1670019955.9021
MEM 259.179688 1670019956.0057
CHLD 34605 9.523438 1670019956.0152
CHLD 34614 25.988281 1670019956.0153
CHLD 34615 80.269531 1670019956.0153
MEM 259.179688 1670019956.1158
CHLD 34605 9.523438 1670019956.1243
CHLD 34614 25.988281 1670019956.1243
CHLD 34615 80.269531 1670019956.1243
MEM 259.179688 1670019956.2260
CHLD 34605 9.523438 1670019956.2359
CHLD 34614 25.988281 1670019956.2359
CHLD 34615 80.269531 1670019956.2359
MEM 259.187500 1670019956.3363
CHLD 34605 9.523438 1670019956.3458
CHLD 34614 25.988281 1670019956.3458
CHLD 34615 80.269531 1670019956.3458
MEM 259.187500 1670019956.4472
CHLD 34605 9.523438 1670019956.4567
CHLD 34614 25.988281 1670019956.4567
CHLD 34615 80.261719 1670019956.4567
MEM 259.191406 1670019956.5593
CHLD 34605 9.523438 1670019956.5693
CHLD 34614 25.988281 1670019956.5694
CHLD 34615 80.261719 1670019956.5694
MEM 259.195312 1670019956.6713
CHLD 34605 9.523438 1670019956.6798
CHLD 34614 25.988281 1670019956.6798
CHLD 34615 80.261719 1670019956.6799
MEM 259.195312 1670019956.7804
CHLD 34605 9.523438 1670019956.7886
CHLD 34614 25.988281 1670019956.7886
CHLD 34615 80.261719 1670019956.7886
MEM 259.195312 1670019956.8907
CHLD 34605 9.523438 1670019956.8989
CHLD 34614 25.988281 1670019956.8989
CHLD 34615 80.261719 1670019956.8989
MEM 259.195312 1670019957.0016
CHLD 34605 9.523438 1670019957.0112
CHLD 34614 25.988281 1670019957.0113
CHLD 34615 80.261719 1670019957.0113
MEM 259.195312 1670019957.1142
CHLD 34605 9.523438 1670019957.1229
CHLD 34614 25.988281 1670019957.1229
CHLD 34615 80.261719 1670019957.1229
MEM 259.203125 1670019957.2258
CHLD 34605 9.523438 1670019957.2350
CHLD 34614 25.988281 1670019957.2350
CHLD 34615 80.261719 1670019957.2350
MEM 259.292969 1670019957.3361
CHLD 34605 9.523438 1670019957.3455
CHLD 34614 25.988281 1670019957.3455
CHLD 34615 80.261719 1670019957.3456
MEM 259.292969 1670019957.4490
CHLD 34605 9.523438 1670019957.4580
CHLD 34614 25.988281 1670019957.4580
CHLD 34615 80.261719 1670019957.4580
MEM 259.292969 1670019957.5615
CHLD 34605 9.523438 1670019957.5703
CHLD 34614 25.988281 1670019957.5703
CHLD 34615 80.261719 1670019957.5703
MEM 259.296875 1670019957.6714
CHLD 34605 9.523438 1670019957.6797
CHLD 34614 25.988281 1670019957.6798
CHLD 34615 80.261719 1670019957.6798
MEM 259.296875 1670019957.7815
CHLD 34605 9.523438 1670019957.7913
CHLD 34614 25.988281 1670019957.7913
CHLD 34615 80.261719 1670019957.7913
MEM 259.304688 1670019957.8948
CHLD 34605 9.523438 1670019957.9036
CHLD 34614 25.988281 1670019957.9036
CHLD 34615 80.261719 1670019957.9036
MEM 259.316406 1670019958.0052
CHLD 34605 9.523438 1670019958.0148
CHLD 34614 25.988281 1670019958.0148
CHLD 34615 80.261719 1670019958.0148
MEM 259.324219 1670019958.1190
CHLD 34605 9.523438 1670019958.1278
CHLD 34614 25.988281 1670019958.1278
CHLD 34615 80.261719 1670019958.1278
MEM 259.363281 1670019958.2287
CHLD 34605 9.523438 1670019958.2386
CHLD 34614 25.988281 1670019958.2386
CHLD 34615 80.261719 1670019958.2386
MEM 259.375000 1670019958.3435
CHLD 34605 9.523438 1670019958.3523
CHLD 34614 25.988281 1670019958.3523
CHLD 34615 80.261719 1670019958.3523
MEM 259.386719 1670019958.4574
CHLD 34605 9.523438 1670019958.4699
CHLD 34614 25.988281 1670019958.4700
CHLD 34615 80.261719 1670019958.4700
MEM 259.410156 1670019958.5713
CHLD 34605 9.523438 1670019958.5800
CHLD 34614 25.988281 1670019958.5800
CHLD 34615 80.261719 1670019958.5800
MEM 259.414062 1670019958.6815
CHLD 34605 9.523438 1670019958.6902
